company_id,current_company_name,current_symbol,former_company_names,former_symbols,official_website,historical_domains,listing_date,delisting_date,sector,fiscal_year_end,isin,lei,secp_registration,merger_history,demerger_history,identity_provenance
PAK|XKAR|HBL,Habib Bank Limited,HBL,"","","https://www.hbl.com","","1972-01-01","","Commercial Banks","December 31",PK0078801017,549300HBLPAKISTAN0001,"0000101","","","PSX Official Listing / CDC"
PAK|XKAR|UBL,United Bank Limited,UBL,"","","https://www.ubldirect.com","","1972-01-01","","Commercial Banks","December 31",PK0081901012,,"0000102","","","PSX Official Listing / CDC"
PAK|XKAR|MCB,MCB Bank Limited,MCB,"Muslim Commercial Bank Limited","","https://www.mcb.com.pk","","1991-01-01","","Commercial Banks","December 31",PK0055201018,,"0000103","Amalgamation with NIB Bank in 2017","","PSX Official Listing / CDC"
PAK|XKAR|NBP,National Bank of Pakistan,NBP,"","","https://www.nbp.com.pk","","2001-11-09","","Commercial Banks","December 31",PK0059501017,,"0000104","","","PSX Official Listing / CDC"
PAK|XKAR|BAFL,Bank Alfalah Limited,BAFL,"","","https://www.bankalfalah.com","","2004-03-22","","Commercial Banks","December 31",PK0007601015,,"0000105","","","PSX Official Listing / CDC"
PAK|XKAR|MEBL,Meezan Bank Limited,MEBL,"Al-Meezan Investment Bank","","https://www.meezanbank.com","","2000-10-19","","Commercial Banks","December 31",PK0054001013,,"0000106","Acquired HSBC Pakistan operations in 2014","","PSX Official Listing / CDC"
PAK|XKAR|ABL,Allied Bank Limited,ABL,"Allied Bank of Pakistan Limited","","https://www.abl.com","","2005-08-10","","Commercial Banks","December 31",PK0002401014,,"0000107","","","PSX Official Listing / CDC"
PAK|XKAR|AKBL,Askari Bank Limited,AKBL,"Askari Commercial Bank Limited","","https://www.askaribank.com.pk","","1992-06-25","","Commercial Banks","December 31",PK0006201019,,"0000108","Acquired by Fauji Foundation in 2013","","PSX Official Listing / CDC"
PAK|XKAR|BOP,The Bank of Punjab,BOP,"","","https://www.bop.com.pk","","1991-05-18","","Commercial Banks","December 31",PK0008501016,,"0000109","","","PSX Official Listing / CDC"
PAK|XKAR|FABL,Faysal Bank Limited,FABL,"","","https://www.faysalbank.com","","1995-02-15","","Commercial Banks","December 31",PK0029701011,,"0000110","Converted to full Islamic Bank in 2022","","PSX Official Listing / CDC"
PAK|XKAR|JSBL,JS Bank Limited,JSBL,"Jahangir Siddiqui Investment Bank","","https://www.jsbl.com","","2007-03-15","","Commercial Banks","December 31",PK0046801013,,"0000111","Acquisition of BankIslami shares in 2023","","PSX Official Listing / CDC"
PAK|XKAR|SNBL,Soneri Bank Limited,SNBL,"","","https://www.soneribank.com","","1992-05-07","","Commercial Banks","December 31",PK0073001019,,"0000112","","","PSX Official Listing / CDC"
PAK|XKAR|BML,Bank Makramah Limited,BML,"Summit Bank Limited|Arif Habib Bank Limited","SMBL|AHBL","https://www.bankmakramah.com","https://www.summitbank.com.pk","2006-11-20","","Commercial Banks","December 31",PK0087701010,,"0000113","Summit Bank rebranded to Bank Makramah Limited in 2023","","PSX Official Listing / Rebranding Notice"
PAK|XKAR|SYS,Systems Limited,SYS,"","","https://www.systemsltd.com","","2015-02-04","","Technology & Communication","December 31",PK0074201014,549300SYS0000000001,"0000201","Acquired NdcTech and TechVista subsidiaries","","PSX Official Listing / CDC"
PAK|XKAR|OCTOPUS,Octopus Digital Limited,OCTOPUS,"","","https://www.octopusdtl.com","","2021-10-11","","Technology & Communication","December 31",PK0104101012,,"0000202","Carved out from Avanceon Limited","Demerged from AVN","PSX IPO Prospectus Oct 2021"
PAK|XKAR|AIRLINK,Air Link Communication Limited,AIRLINK,"","","https://www.airlinkcommunication.net","","2021-09-22","","Technology & Communication","June 30",PK0103901016,,"0000203","Smartphone assembly venture with Xiaomi in 2022","","PSX IPO Prospectus Sep 2021"
PAK|XKAR|TRG,TRG Pakistan Limited,TRG,"The Resource Group Pakistan Limited","","https://www.trgpakistan.com","","2003-07-18","","Technology & Communication","June 30",PK0079901014,,"0000204","Portfolio investments in Ibex and Afiniti","","PSX Official Listing / CDC"
PAK|XKAR|NETSOL,NetSol Technologies Limited,NETSOL,"","","https://www.netsoltech.com","","2005-08-26","","Technology & Communication","June 30",PK0060901016,,"0000205","Subsidiary of NetSol US","","PSX Official Listing / CDC"
PAK|XKAR|AVN,Avanceon Limited,AVN,"","","https://www.avanceon.ae","","2014-02-12","","Technology & Communication","December 31",PK0006701018,,"0000206","Spun off Octopus Digital in 2021","Demerger of Octopus","PSX Official Listing / CDC"
PAK|XKAR|PTC,Pakistan Telecommunication Company Limited,PTC,"PTCL","","https://www.ptcl.com.pk","","1996-09-15","","Technology & Communication","December 31",PK0066201015,,"0000207","Agreement to acquire Telenor Pakistan in 2023","","PSX Official Listing / CDC"
PAK|XKAR|LUCK,Lucky Cement Limited,LUCK,"","","https://www.lucky-cement.com","","1996-06-26","","Cement","June 30",PK0049301011,549300LUCK0000000001,"0000301","Diversified into Kia Lucky Motors and chemicals","","PSX Official Listing / CDC"
PAK|XKAR|DGKC,D.G. Khan Cement Company Limited,DGKC,"DG Khan Cement","","https://www.dgcement.com","","1992-09-06","","Cement","June 30",PK0023801015,,"0000302","Nishat Group flagship cement firm","","PSX Official Listing / CDC"
PAK|XKAR|MLCF,Maple Leaf Cement Factory Limited,MLCF,"","","https://www.mapleleaf.com.pk","","1994-08-17","","Cement","June 30",PK0053901016,,"0000303","Merged Maple Leaf Electric into MLCF","","PSX Official Listing / CDC"
PAK|XKAR|CHCC,Cherat Cement Company Limited,CHCC,"Cherat Cement","","https://www.gfg.com.pk/cherat","","1986-05-12","","Cement","June 30",PK0017101018,,"0000304","Ghulam Faruque Group member","","PSX Official Listing / CDC"
PAK|XKAR|KOHC,Kohat Cement Company Limited,KOHC,"","","https://www.kohatcement.com","","1991-03-24","","Cement","June 30",PK0048101016,,"0000305","State-of-the-art Grey & White cement lines","","PSX Official Listing / CDC"
PAK|XKAR|FCCL,Fauji Cement Company Limited,FCCL,"","","https://www.fccl.com.pk","","1996-05-20","","Cement","June 30",PK0030301017,,"0000306","Amalgamated Askari Cement Limited into FCCL in 2022","","PSX Official Listing / Merger Scheme"
PAK|XKAR|ACPL,Attock Cement Pakistan Limited,ACPL,"","","https://www.attockcement.com","","2002-06-18","","Cement","June 30",PK0006901014,,"0000307","Pharaon Group affiliate","","PSX Official Listing / CDC"
PAK|XKAR|PIOC,Pioneer Cement Limited,PIOC,"","","https://www.pioneercement.com","","1994-04-10","","Cement","June 30",PK0065001010,,"0000308","Commissioned new 8000 tpd production line","","PSX Official Listing / CDC"
PAK|XKAR|OGDC,Oil & Gas Development Company Limited,OGDC,"","","https://www.ogdcl.com","","2003-10-21","","Oil & Gas Exploration Companies","June 30",PK0062801016,549300OGDC0000000001,"0000401","Largest upstream exploration company in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|PPL,Pakistan Petroleum Limited,PPL,"","","https://www.ppl.com.pk","","2004-09-16","","Oil & Gas Exploration Companies","June 30",PK0065801013,,"0000402","Operator of Sui gas field","","PSX Official Listing / CDC"
PAK|XKAR|MARI,Mari Petroleum Company Limited,MARI,"Mari Gas Company Limited","","https://www.mpcl.com.pk","","1994-09-08","","Oil & Gas Exploration Companies","June 30",PK0054701018,,"0000403","Rebranded from Mari Gas Company in 2012","","PSX Official Listing / CDC"
PAK|XKAR|POL,Pakistan Oilfields Limited,POL,"","","https://www.papkfoil.com","","1979-05-15","","Oil & Gas Exploration Companies","June 30",PK0065701015,,"0000404","Attock Group exploration arm","","PSX Official Listing / CDC"
PAK|XKAR|PSO,Pakistan State Oil Company Limited,PSO,"","","https://www.psopk.com","","1976-12-30","","Oil & Gas Marketing Companies","June 30",PK0066101017,,"0000405","Largest oil marketing company in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|ATRL,Attock Refinery Limited,ATRL,"","","https://www.arl.com.pk","","1979-04-01","","Refinery","June 30",PK0007201014,,"0000406","Oldest refinery complex in Rawalpindi","","PSX Official Listing / CDC"
PAK|XKAR|PRL,Pakistan Refinery Limited,PRL,"","","https://www.prl.com.pk","","1960-05-10","","Refinery","June 30",PK0066001019,,"0000407","Major refinery upgrade project announced 2023","","PSX Official Listing / CDC"
PAK|XKAR|CNERGY,Cnergyico PK Limited,CNERGY,"Byco Petroleum Pakistan Limited|Bosicor Pakistan Limited","BYCO|BPL","https://www.cnergyico.com","https://www.byco.com.pk","2007-02-15","","Refinery","June 30",PK0087601012,,"0000408","Rebranded Byco Petroleum to Cnergyico PK in Jan 2022","","PSX Official Name Change Notice 2022"
PAK|XKAR|NRL,National Refinery Limited,NRL,"","","https://www.nrlpak.com","","1964-07-12","","Refinery","June 30",PK0059801011,,"0000409","Only lube base oil refinery in Pakistan","","PSX Official Listing / CDC"
PAK|XKAR|FFC,Fauji Fertilizer Company Limited,FFC,"","","https://www.ffc.com.pk","","1991-11-20","","Fertilizer","December 31",PK0030501012,549300FFC00000000001,"0000501","Proposed merger with FFBL announced in 2024","","PSX Official Listing / CDC"
PAK|XKAR|ENGRO,Engro Corporation Limited,ENGRO,"Engro Chemical Pakistan Limited","ECPL","https://www.engro.com","","1968-08-01","","Fertilizer","December 31",PK0029301010,,"0000502","Holding conglomerate restructuring in 2024","","PSX Official Listing / CDC"
PAK|XKAR|EFERT,Engro Fertilizers Limited,EFERT,"","","https://www.engrofertilizers.com","","2014-01-20","","Fertilizer","December 31",PK0029401018,,"0000503","Carved out from Engro Corporation in 2010","","PSX Official Listing / CDC"
