country,company_name,exchange,lei,isin,ticker,cik,aliases
USA,Cintas,XNAS,959800ZM7J9PW6MJW675,US1729081059,CTAS,723254,CINTAS CORP
USA,Synopsys,XNAS,QG7T915N9S0NY5UKNE63,US8716071076,SNPS,883241,SYNOPSYS INC
USA,Simon Property Group,XNYS,529900GQL5X8H7AO3T64,US8288061091,SPG,1063761,SIMON PROPERTY GROUP INC.
USA,Mondelez International,XNAS,549300DV9GIB88LZ5P30,US6092071058,MDLZ,1103982,"Mondelez International, Inc."
USA,SLB (Schlumberger),XNYS,213800ZUA17OK3QLGM62,AN8068571086,SLB,87347,SLB LIMITED/NV
USA,Intuit,XNAS,VI90HBPH7XSFMB9E4M29,US4612021034,INTU,896878,INTUIT INC.
USA,Warner Bros. Discovery,XNAS,5493006ZCRFWKF6B1K26,US25470F1049,WBD,1437107,"Warner Bros. Discovery, Inc."
USA,Ecolab,XNYS,82DYEISM090VG8LTLS26,US2788651006,ECL,31462,ECOLAB INC.
USA,Illinois Tool Works,XNYS,76NA4I14SZCFAYMNSV04,US4523081093,ITW,49826,ILLINOIS TOOL WORKS INC
USA,Motorola Solutions,XNYS,6S552MUG6KGJVEBSEC55,US6200763075,MSI,68505,"Motorola Solutions, Inc."
USA,General Motors,XNYS,54930070NSV60J38I987,US37045V1008,GM,1467858,General Motors Co
USA,The Travelers Companies,XNYS,549300Y650407RU8B149,US89417E1091,TRV,86312,"TRAVELERS COMPANIES, INC."
USA,Ross Stores,XNAS,549300ENZFLPGRDFZQ60,US7782961038,ROST,745732,"ROSS STORES, INC."
USA,Apollo Global Management,XNYS,54930054P2G7ZJB0KM79,US0376123065,APO,1858681,"Apollo Global Management, Inc."
USA,EOG Resources,XNYS,XWTZDRYZPBUHIQBKDB46,US26875P1012,EOG,821189,EOG RESOURCES INC
USA,Carvana,XNYS,5493003WEAK2PJ5WS063,US1468691027,CVNA,1690820,CARVANA CO.
USA,Moderna,XNAS,549300EI6OKH5K5Q2G38,US60770K1079,MRNA,1682852,"Moderna, Inc."
USA,The Cigna Group,XNYS,549300VIWYMSIGT1U456,US1255091092,CI,1739940,Cigna Group
USA,Target,XNYS,8WDDFXB5T1Z6J0XC1L66,US87612E1064,TGT,27419,TARGET CORP
USA,Northrop Grumman,XNYS,RIMU48P07456QXSO0R61,US6668071029,NOC,1133421,NORTHROP GRUMMAN CORP /DE/
USA,Cummins,XNYS,ZUNI8PYC725B6H8JU438,US2310211063,CMI,26172,CUMMINS INC
USA,Energy Transfer LP,XNYS,MTLVN9N7JE8MIBIJ1H73,US29273V1008,ET,1276187,Energy Transfer LP
USA,Norfolk Southern,XNYS,54930036C8MWP850MI84,US6558441084,NSC,702165,NORFOLK SOUTHERN CORP
USA,Digital Realty,XNYS,549300HKCZ31D08NEI41,US2538681030,DLR,1297996,"DIGITAL REALTY TRUST, INC."
USA,FedEx,XNYS,549300E707U7WNPZN687,US31428X1063,FDX,1048911,FEDEX CORP
USA,Kinder Morgan,XNYS,549300WR7IX8XE0TBO16,US49456B1017,KMI,1506307,"KINDER MORGAN, INC."
USA,O'Reilly Automotive,XNAS,549300K2RLMQL149Q332,US67103H1077,ORLY,898173,O REILLY AUTOMOTIVE INC
USA,Hilton Worldwide,XNYS,549300HVGPK36ICB0B89,US43300A2033,HLT,1585689,Hilton Worldwide Holdings Inc.
USA,Colgate-Palmolive,XNYS,YMEGZFW4SBUSS5BQXF88,US1941621039,CL,21665,COLGATE PALMOLIVE CO
USA,Monolithic Power Systems,XNAS,529900TB7O85LSZ1XU31,US6098391054,MPWR,1280452,"MONOLITHIC POWER SYSTEMS, INC."
USA,"Strategy 
 (MicroStrategy)",XNAS,549300WQTWEJUEHXQX21,US5949724083,MSTR,1050446,Strategy Inc
USA,Honeywell,XNAS,ISRPG12PN4EIEOEMW547,US4385161066,HON,773840,HONEYWELL INTERNATIONAL INC
USA,Republic Services,XNYS,NKNQHM6BLECKVOQP7O46,US7607591002,RSG,1060391,"REPUBLIC SERVICES, INC."
USA,American Electric Power,XNAS,1B4S6S7G0TW5EE83BO58,US0255371017,AEP,4904,AMERICAN ELECTRIC POWER CO INC
USA,United Rentals,XNYS,5323X5O7RN0NKFCDRY08,US9113631090,URI,1067701,"UNITED RENTALS, INC."
USA,Boston Scientific,XNYS,Y6ZDD9FP4P8JSSJMW954,US1011371077,BSX,885725,BOSTON SCIENTIFIC CORP
USA,Air Products and Chemicals,XNYS,1XLP8EP6FZUGMP85CM51,US0091581068,APD,2969,"Air Products & Chemicals, Inc."
USA,Royal Caribbean Group,XNYS,K2NEH8QNVW44JIWK7Z55,LR0008862868,RCL,884887,ROYAL CARIBBEAN CRUISES LTD
USA,Astera Labs,XNAS,529900LJL8TUEGF7HG20,US04626A1043,ALAB,1736297,"Astera Labs, Inc."
USA,Teradyne,XNAS,C3X4YJ278QNZHRJULN75,US8807701029,TER,97210,"TERADYNE, INC"
USA,Targa Resources,XNYS,5493003QENHHS261UR94,US87612E1064,TRGP,1389170,Targa Resources Corp.
USA,MetLife,XNYS,C4BXATY60WC6XEOZDX54,US59156R1086,MET,1099219,METLIFE INC
USA,TransDigm Group,XNYS,88Q84GB3X55CF5OC7582,US8936411003,TDG,1260221,TransDigm Group INC
USA,Coherent Corp.,XNYS,549300O5C25A0MMHHU33,US9021041085,COHR,820318,COHERENT CORP.
USA,Cencora,XNYS,AI8GXW8LG5WK7E9UD086,US03073E1055,COR,1140859,"Cencora, Inc."
USA,MPLX,XNYS,5493000CZJ19CK4P3G36,US55336V1008,MPLX,1552000,MPLX LP
USA,W. W. Grainger,XNYS,549300TWZSP6O1IH2V34,US3848021040,GWW,277135,"W.W. GRAINGER, INC."
USA,Paccar,XNAS,KDTEY8BWE486IKZ3CC07,US6937181088,PCAR,75362,PACCAR INC
USA,Arthur J. Gallagher & Co.,XNYS,54930049QLLMPART6V29,US3635761097,AJG,354190,Arthur J. Gallagher & Co.
USA,Keysight,XNYS,549300GLKVIO8YRCYN02,US49338L1035,KEYS,1601046,"Keysight Technologies, Inc."
